"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\dashboard.ts", "TypeScript", 130, 0, 0, 0, 15, 145
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\employee.ts", "TypeScript", 93, 0, 0, 0, 8, 101
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\file.ts", "TypeScript", 22, 0, 0, 0, 4, 26
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\log.ts", "TypeScript", 26, 0, 0, 0, 4, 30
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\note.ts", "TypeScript", 72, 0, 0, 0, 6, 78
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\passwordResetToken.ts", "TypeScript", 22, 0, 0, 0, 5, 27
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\product.ts", "TypeScript", 62, 0, 0, 0, 3, 65
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\report.ts", "TypeScript", 25, 0, 0, 0, 4, 29
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\task.ts", "TypeScript", 112, 0, 0, 0, 8, 120
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\twoFactorConfirmation.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\twoFactorToken.ts", "TypeScript", 22, 0, 0, 0, 3, 25
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\user.ts", "TypeScript", 48, 0, 0, 0, 5, 53
"c:\Programming\Asset Management - KP\dewafin_prod\src\data\verificationToken.ts", "TypeScript", 22, 0, 0, 0, 3, 25
"c:\Programming\Asset Management - KP\dewafin_prod\src\hooks\useCurrentRole.ts", "TypeScript", 5, 0, 0, 1, 1, 7
"c:\Programming\Asset Management - KP\dewafin_prod\src\hooks\useCurrentUser.ts", "TypeScript", 9, 0, 0, 1, 1, 11
"c:\Programming\Asset Management - KP\dewafin_prod\src\hooks\useDebounce.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"c:\Programming\Asset Management - KP\dewafin_prod\src\hooks\useMediaQuery.ts", "TypeScript", 15, 0, 0, 1, 7, 23
"c:\Programming\Asset Management - KP\dewafin_prod\src\hooks\usePagination.ts", "TypeScript", 40, 0, 0, 0, 8, 48
"c:\Programming\Asset Management - KP\dewafin_prod\src\lib\auth.config.ts", "TypeScript", 34, 0, 0, 0, 6, 40
"c:\Programming\Asset Management - KP\dewafin_prod\src\lib\auth.ts", "TypeScript", 85, 0, 0, 2, 9, 96
"c:\Programming\Asset Management - KP\dewafin_prod\src\lib\db.ts", "TypeScript", 6, 0, 0, 0, 4, 10
